2025-01-13 00:21:43 INFO  [AWT-EventQueue-0] com.motelinteligente.dados.fquartos - Operação bem-sucedida: UPDATE registralocado SET horafim='2025-01-13 00:21:02.776', horainicio='2025-01-12 23:58:23.0', valorquarto=60.0, valorconsumo=0.0, pagodinheiro=0.0, pagopix=0.0, pagocartao=60.0, idcaixaatual=283 WHERE idlocacao=4545
2025-01-13 00:31:25 INFO  [Thread-182] c.m.dados.CheckSincronia - Verificando tabela: alarmes
2025-01-13 00:31:25 INFO  [Thread-182] c.m.dados.CheckSincronia - Verificando tabela: antecipado
2025-01-13 00:31:25 INFO  [Thread-182] c.m.dados.CheckSincronia - Verificando tabela: caixa
2025-01-13 00:31:25 INFO  [Thread-182] c.m.dados.CheckSincronia - Verificando tabela: configuracoes
2025-01-13 00:31:25 INFO  [Thread-182] c.m.dados.CheckSincronia - Verificando tabela: desistencia
2025-01-13 00:31:25 INFO  [Thread-182] c.m.dados.CheckSincronia - Verificando tabela: funcionario
2025-01-13 00:31:25 INFO  [Thread-182] c.m.dados.CheckSincronia - Verificando tabela: imagens
2025-01-13 00:31:25 INFO  [Thread-182] c.m.dados.CheckSincronia - Verificando tabela: justificativa
2025-01-13 00:31:25 INFO  [Thread-182] c.m.dados.CheckSincronia - Verificando tabela: prevendidos
2025-01-13 00:31:25 INFO  [Thread-182] c.m.dados.CheckSincronia - Verificando tabela: produtos
2025-01-13 00:31:25 INFO  [Thread-182] c.m.dados.CheckSincronia - Verificando tabela: quartos
2025-01-13 00:31:25 INFO  [Thread-182] c.m.dados.CheckSincronia - Verificando tabela: registralimpeza
2025-01-13 00:31:25 WARN  [Thread-182] c.m.dados.CheckSincronia - Discrepância encontrada na tabela %s para ID %s%n
2025-01-13 00:31:26 INFO  [Thread-182] c.m.dados.CheckSincronia - Verificando tabela: registralocado
2025-01-13 00:31:26 WARN  [Thread-182] c.m.dados.CheckSincronia - Discrepância encontrada na tabela %s para ID %s%n
2025-01-13 00:31:27 INFO  [Thread-182] c.m.dados.CheckSincronia - Verificando tabela: registramanutencao
2025-01-13 00:31:27 INFO  [Thread-182] c.m.dados.CheckSincronia - Verificando tabela: registrareserva
2025-01-13 00:31:27 INFO  [Thread-182] c.m.dados.CheckSincronia - Verificando tabela: registravendido
2025-01-13 00:31:27 INFO  [Thread-182] c.m.dados.CheckSincronia - Verificando tabela: status
2025-01-13 00:31:27 WARN  [Thread-182] c.m.dados.CheckSincronia - Discrepância encontrada na tabela %s para ID %s%n
